CODE,RID,SID,Message,Type,Date,Time,Status,
300001,10000001,10000003,Let's schedule a meeting to discuss.,MEETING,2016-05-12,10:30,READ, 
300002,10000008,10000002,I have a question about the property.,INQUIRY,2017-08-21,14:15,UNREAD,
300003,10000004,10000009,The transaction has been initiated.,TRANSACTION,2018-11-05,9:45,READ,
300004,10000011,10000005,New property listing matching your criteria.,PROPERTY,2019-02-14,11:20,UNREAD,
300005,10000006,10000016,Are you available for a meeting tomorrow?,MEETING,2020-07-30,16:00,READ,
300006,10000026,10000007,Could you provide more details?,INQUIRY,2021-09-18,13:10,UNREAD,
300007,10000010,10000044,Please review the transaction documents.,TRANSACTION,2022-04-25,15:30,READ,
300008,10000049,10000012,The property price has been updated.,PROPERTY,2023-12-01,10:05,READ,
300009,10000013,10000056,Meeting confirmed.,MEETING,2016-03-15,8:50,UNREAD,
300010,10000061,10000014,Is the property still available?,INQUIRY,2017-06-22,12:40,READ,
300011,10000015,10000069,Transaction successful.,TRANSACTION,2018-01-10,14:55,READ,
300012,10000073,10000017,Property inspection is scheduled.,PROPERTY,2019-10-08,9:30,UNREAD,
300013,10000018,10000077,Please confirm the meeting time.,MEETING,2020-05-19,11:05,READ,
300014,10000078,10000019,What are the terms of the lease?,INQUIRY,2021-11-27,15:20,UNREAD,
300015,10000020,10000083,Waiting for your approval on the transaction.,TRANSACTION,2022-08-04,10:45,READ,
300016,10000086,10000021,The property is now under contract.,PROPERTY,2023-02-16,13:10,READ,
300017,10000022,10000088,Can we reschedule our meeting?,MEETING,2024-07-09,16:35,UNREAD,
300018,10000102,10000023,I would like to know more about the neighborhood.,INQUIRY,2016-09-11,9:50,READ,
300019,10000024,10000103,The payment has been received.,TRANSACTION,2017-12-30,12:15,UNREAD,
300020,10000106,10000025,Please review the new property photos.,PROPERTY,2018-04-05,14:40,READ,
300021,10000027,10000110,Let's schedule a meeting to discuss.,MEETING,2019-08-14,10:25,READ,
300022,10000113,10000028,I have a question about the property.,INQUIRY,2020-01-23,15:50,UNREAD,
300023,10000029,10000117,The transaction has been initiated.,TRANSACTION,2021-06-02,9:15,READ,
300024,10000120,10000030,New property listing matching your criteria.,PROPERTY,2022-10-11,11:40,READ,
300025,10000031,10000128,Are you available for a meeting tomorrow?,MEETING,2023-03-20,14:05,UNREAD,
300026,10000129,10000032,Could you provide more details?,INQUIRY,2024-05-29,16:30,READ,
300027,10000033,10000135,Please review the transaction documents.,TRANSACTION,2016-11-07,10:55,READ,
300028,10000136,10000034,The property price has been updated.,PROPERTY,2017-02-16,13:20,UNREAD,
300029,10000035,10000138,Meeting confirmed.,MEETING,2018-07-25,9:45,READ,
300030,10000150,10000036,Is the property still available?,INQUIRY,2019-12-04,12:10,READ,
300031,10000037,10000003,Transaction successful.,TRANSACTION,2020-04-13,15:35,UNREAD,
300032,10000008,10000038,Property inspection is scheduled.,PROPERTY,2021-09-22,10:00,READ,
300033,10000039,10000009,Please confirm the meeting time.,MEETING,2022-01-31,14:25,READ,
300034,10000011,10000040,What are the terms of the lease?,INQUIRY,2023-06-10,16:50,UNREAD,
300035,10000041,10000016,Waiting for your approval on the transaction.,TRANSACTION,2024-10-19,11:15,READ,
300036,10000026,10000042,The property is now under contract.,PROPERTY,2016-02-28,9:40,READ,
300037,10000043,10000044,Can we reschedule our meeting?,MEETING,2017-05-08,13:05,UNREAD,
300038,10000049,10000045,I would like to know more about the neighborhood.,INQUIRY,2018-08-17,15:30,READ,
300039,10000046,10000056,The payment has been received.,TRANSACTION,2019-11-26,10:55,READ,
300040,10000061,10000047,Please review the new property photos.,PROPERTY,2020-03-05,12:20,UNREAD,
300041,10000048,10000069,Let's schedule a meeting to discuss.,MEETING,2021-07-14,16:45,READ,
300042,10000073,10000050,I have a question about the property.,INQUIRY,2022-12-23,9:10,READ,
300043,10000051,10000077,The transaction has been initiated.,TRANSACTION,2023-04-02,11:35,UNREAD,
300044,10000078,10000052,New property listing matching your criteria.,PROPERTY,2024-09-11,14:00,READ,
300045,10000053,10000083,Are you available for a meeting tomorrow?,MEETING,2016-01-20,16:25,READ,
300046,10000086,10000054,Could you provide more details?,INQUIRY,2017-10-29,10:50:00,UNREAD,
300047,10000055,10000088,Please review the transaction documents.,TRANSACTION,2018-03-09,13:15:00,READ,
300048,10000102,10000057,The property price has been updated.,PROPERTY,2019-06-18,15:40:00,READ,
300049,10000058,10000103,Meeting confirmed.,MEETING,2020-11-27,9:05:00,UNREAD,
300050,10000106,10000059,Is the property still available?,INQUIRY,2021-02-05,11:30:00,READ,