PID,OwnerID,OfficeID,HouseNo,Locality,Area,City,Pin,Size,Type,BHK,Year Built,Description
50000001,10000024,100003,C-36,Fancy Bazaar,Laxmi Ganj,Guwahati,781001,2495,APARTMENT,6,2025,"Premium 6 BHK APARTMENT in Laxmi Ganj, Guwahati. Built in 2025 with 2495 sq ft area."
50000002,10000059,100003,D-49,Charbagh,Gomti Nagar,Lucknow,226001,2696,APARTMENT,4,2020,"Premium 4 BHK APARTMENT in Gomti Nagar, Lucknow. Built in 2020 with 2696 sq ft area."
50000003,10000042,100005,E-62,Rohini,Connaught Place,New Delhi,110001,2636,FLAT,4,2019,"Premium 4 BHK FLAT in Connaught Place, New Delhi. Built in 2019 with 2636 sq ft area."
50000004,10000012,100002,F-75,Ganeshguri,Paltan Bazaar,Guwahati,781001,1955,FLAT,2,2016,"Premium 2 BHK FLAT in Paltan Bazaar, Guwahati. Built in 2016 with 1955 sq ft area."
50000005,10000041,100003,G-88,Charbagh,Indira Nagar,Lucknow,226001,1073,FLAT,5,2020,"Premium 5 BHK FLAT in Indira Nagar, Lucknow. Built in 2020 with 1073 sq ft area."
50000006,10000079,100005,H-101,Karol Bagh,Vasant Kunj,New Delhi,110001,2377,APARTMENT,2,2025,"Premium 2 BHK APARTMENT in Vasant Kunj, New Delhi. Built in 2025 with 2377 sq ft area."
50000007,10000066,100002,I-114,Hauz Khas,Connaught Place,New Delhi,110001,1736,FLAT,6,2016,"Premium 6 BHK FLAT in Connaught Place, New Delhi. Built in 2016 with 1736 sq ft area."
50000008,10000099,100003,J-127,Bada,Morar,Gwalior,474001,2880,APARTMENT,1,2019,"Premium 1 BHK APARTMENT in Morar, Gwalior. Built in 2019 with 2880 sq ft area."
50000009,10000004,100004,K-140,Thatipur,City Center,Gwalior,474001,2357,APARTMENT,4,2019,"Premium 4 BHK APARTMENT in City Center, Gwalior. Built in 2019 with 2357 sq ft area."
50000010,10000085,100005,L-153,Phool Bagh,Morar,Gwalior,474001,1286,FLAT,3,2022,"Premium 3 BHK FLAT in Morar, Gwalior. Built in 2022 with 1286 sq ft area."
50000011,10000085,100004,M-166,Thatipur,City Center,Gwalior,474001,1685,APARTMENT,4,2014,"Premium 4 BHK APARTMENT in City Center, Gwalior. Built in 2014 with 1685 sq ft area."
50000012,10000099,100002,N-179,Pinto Park,Lashkar,Gwalior,474001,1560,FLAT,2,2025,"Premium 2 BHK FLAT in Lashkar, Gwalior. Built in 2025 with 1560 sq ft area."
50000013,10000060,100003,O-192,Bada,City Center,Gwalior,474001,600,FLAT,6,2018,"Premium 6 BHK FLAT in City Center, Gwalior. Built in 2018 with 600 sq ft area."
50000014,10000079,100002,P-205,Malad,Andheri,Mumbai,400001,1828,APARTMENT,5,2022,"Premium 5 BHK APARTMENT in Andheri, Mumbai. Built in 2022 with 1828 sq ft area."
50000015,10000047,100003,Q-218,Phool Bagh,City Center,Gwalior,474001,525,FLAT,2,2022,"Premium 2 BHK FLAT in City Center, Gwalior. Built in 2022 with 525 sq ft area."
50000016,10000098,100002,R-231,Fancy Bazaar,Laxmi Ganj,Guwahati,781001,1542,FLAT,4,2017,"Premium 4 BHK FLAT in Laxmi Ganj, Guwahati. Built in 2017 with 1542 sq ft area."
50000017,10000127,100002,S-244,Aminabad,Gomti Nagar,Lucknow,226001,1205,APARTMENT,5,2019,"Premium 5 BHK APARTMENT in Gomti Nagar, Lucknow. Built in 2019 with 1205 sq ft area."
50000018,10000114,100006,T-257,Bada,City Center,Gwalior,474001,1946,APARTMENT,4,2025,"Premium 4 BHK APARTMENT in City Center, Gwalior. Built in 2025 with 1946 sq ft area."
50000019,10000127,100004,U-270,Ganeshguri,Laxmi Ganj,Guwahati,781001,1348,FLAT,5,2025,"Premium 5 BHK FLAT in Laxmi Ganj, Guwahati. Built in 2025 with 1348 sq ft area."
50000020,10000100,100005,V-283,Karol Bagh,Dwarka,New Delhi,110001,2563,FLAT,2,2014,"Premium 2 BHK FLAT in Dwarka, New Delhi. Built in 2014 with 2563 sq ft area."
50000021,10000118,100006,W-296,Dispur,Paltan Bazaar,Guwahati,781001,2253,APARTMENT,2,2017,"Premium 2 BHK APARTMENT in Paltan Bazaar, Guwahati. Built in 2017 with 2253 sq ft area."
50000022,10000140,100004,X-309,Saket,Dwarka,New Delhi,110001,972,FLAT,5,2015,"Premium 5 BHK FLAT in Dwarka, New Delhi. Built in 2015 with 972 sq ft area."
50000023,10000107,100004,Y-322,Beltola,Uzan Bazaar,Guwahati,781001,2823,FLAT,6,2024,"Premium 6 BHK FLAT in Uzan Bazaar, Guwahati. Built in 2024 with 2823 sq ft area."
50000024,10000007,100003,Z-335,Rajouri Garden,Dwarka,New Delhi,110001,1600,FLAT,2,2022,"Premium 2 BHK FLAT in Dwarka, New Delhi. Built in 2022 with 1600 sq ft area."
50000025,10000089,100005,A-348,Mahanagar,Indira Nagar,Lucknow,226001,2785,APARTMENT,5,2020,"Premium 5 BHK APARTMENT in Indira Nagar, Lucknow. Built in 2020 with 2785 sq ft area."
50000026,10000024,100005,B-361,Hauz Khas,Vasant Kunj,New Delhi,110001,1431,FLAT,2,2020,"Premium 2 BHK FLAT in Vasant Kunj, New Delhi. Built in 2020 with 1431 sq ft area."
50000027,10000029,100004,C-374,Worli,Colaba,Mumbai,400001,606,FLAT,6,2024,"Premium 6 BHK FLAT in Colaba, Mumbai. Built in 2024 with 606 sq ft area."
50000028,10000124,100002,D-387,Maligaon,Paltan Bazaar,Guwahati,781001,2290,APARTMENT,2,2017,"Premium 2 BHK APARTMENT in Paltan Bazaar, Guwahati. Built in 2017 with 2290 sq ft area."
50000029,10000081,100004,E-400,Dabra,Morar,Gwalior,474001,676,APARTMENT,4,2021,"Premium 4 BHK APARTMENT in Morar, Gwalior. Built in 2021 with 676 sq ft area."
50000030,10000141,100006,F-413,Rohini,Connaught Place,New Delhi,110001,2143,APARTMENT,4,2023,"Premium 4 BHK APARTMENT in Connaught Place, New Delhi. Built in 2023 with 2143 sq ft area."
50000031,10000090,100003,G-426,Thatipur,Lashkar,Gwalior,474001,1540,FLAT,6,2020,"Premium 6 BHK FLAT in Lashkar, Gwalior. Built in 2020 with 1540 sq ft area."
50000032,10000114,100003,H-439,Ganeshguri,Uzan Bazaar,Guwahati,781001,2816,APARTMENT,3,2023,"Premium 3 BHK APARTMENT in Uzan Bazaar, Guwahati. Built in 2023 with 2816 sq ft area."
50000033,10000047,100003,I-452,Vikas Nagar,Indira Nagar,Lucknow,226001,1622,APARTMENT,4,2020,"Premium 4 BHK APARTMENT in Indira Nagar, Lucknow. Built in 2020 with 1622 sq ft area."
50000034,10000001,100006,J-465,Powai,Colaba,Mumbai,400001,1962,APARTMENT,5,2014,"Premium 5 BHK APARTMENT in Colaba, Mumbai. Built in 2014 with 1962 sq ft area."
50000035,10000104,100003,K-478,Beltola,Uzan Bazaar,Guwahati,781001,1370,FLAT,1,2020,"Premium 1 BHK FLAT in Uzan Bazaar, Guwahati. Built in 2020 with 1370 sq ft area."
50000036,10000012,100005,L-491,Worli,Colaba,Mumbai,400001,1848,FLAT,2,2015,"Premium 2 BHK FLAT in Colaba, Mumbai. Built in 2015 with 1848 sq ft area."
50000037,10000060,100005,M-504,Pinto Park,Morar,Gwalior,474001,2907,APARTMENT,6,2020,"Premium 6 BHK APARTMENT in Morar, Gwalior. Built in 2020 with 2907 sq ft area."
50000038,10000142,100004,N-517,Worli,Andheri,Mumbai,400001,1567,APARTMENT,1,2014,"Premium 1 BHK APARTMENT in Andheri, Mumbai. Built in 2014 with 1567 sq ft area."
50000039,10000146,100002,O-530,Vikas Nagar,Gomti Nagar,Lucknow,226001,2865,FLAT,1,2015,"Premium 1 BHK FLAT in Gomti Nagar, Lucknow. Built in 2015 with 2865 sq ft area."
50000040,10000021,100006,P-543,Phool Bagh,Lashkar,Gwalior,474001,1988,FLAT,1,2024,"Premium 1 BHK FLAT in Lashkar, Gwalior. Built in 2024 with 1988 sq ft area."
50000041,10000024,100006,Q-556,Ganeshguri,Uzan Bazaar,Guwahati,781001,1298,APARTMENT,5,2016,"Premium 5 BHK APARTMENT in Uzan Bazaar, Guwahati. Built in 2016 with 1298 sq ft area."
50000042,10000125,100006,R-569,Malad,Bandra,Mumbai,400001,506,FLAT,1,2016,"Premium 1 BHK FLAT in Bandra, Mumbai. Built in 2016 with 506 sq ft area."
50000043,10000108,100003,S-582,Mahanagar,Gomti Nagar,Lucknow,226001,2018,APARTMENT,4,2017,"Premium 4 BHK APARTMENT in Gomti Nagar, Lucknow. Built in 2017 with 2018 sq ft area."
50000044,10000108,100004,T-595,Maligaon,Uzan Bazaar,Guwahati,781001,2932,FLAT,3,2023,"Premium 3 BHK FLAT in Uzan Bazaar, Guwahati. Built in 2023 with 2932 sq ft area."
50000045,10000134,100002,U-608,Aliganj,Hazratganj,Lucknow,226001,1124,APARTMENT,6,2014,"Premium 6 BHK APARTMENT in Hazratganj, Lucknow. Built in 2014 with 1124 sq ft area."
50000046,10000057,100006,V-621,Bada,City Center,Gwalior,474001,594,FLAT,1,2022,"Premium 1 BHK FLAT in City Center, Gwalior. Built in 2022 with 594 sq ft area."
50000047,10000099,100004,W-634,Dispur,Paltan Bazaar,Guwahati,781001,743,APARTMENT,2,2020,"Premium 2 BHK APARTMENT in Paltan Bazaar, Guwahati. Built in 2020 with 743 sq ft area."
50000048,10000141,100002,X-647,Aminabad,Indira Nagar,Lucknow,226001,2240,APARTMENT,3,2019,"Premium 3 BHK APARTMENT in Indira Nagar, Lucknow. Built in 2019 with 2240 sq ft area."
50000049,10000109,100005,Y-660,Pinto Park,Lashkar,Gwalior,474001,1256,APARTMENT,1,2022,"Premium 1 BHK APARTMENT in Lashkar, Gwalior. Built in 2022 with 1256 sq ft area."
50000050,10000112,100003,Z-673,Saket,Dwarka,New Delhi,110001,2297,FLAT,6,2017,"Premium 6 BHK FLAT in Dwarka, New Delhi. Built in 2017 with 2297 sq ft area."
50000051,10000042,100003,A-686,Aliganj,Gomti Nagar,Lucknow,226001,2273,APARTMENT,5,2015,"Premium 5 BHK APARTMENT in Gomti Nagar, Lucknow. Built in 2015 with 2273 sq ft area."
50000052,10000066,100006,B-699,Pinto Park,Morar,Gwalior,474001,2630,APARTMENT,6,2015,"Premium 6 BHK APARTMENT in Morar, Gwalior. Built in 2015 with 2630 sq ft area."
50000053,10000029,100004,C-712,Mahanagar,Gomti Nagar,Lucknow,226001,982,APARTMENT,6,2016,"Premium 6 BHK APARTMENT in Gomti Nagar, Lucknow. Built in 2016 with 982 sq ft area."
50000054,10000084,100002,D-725,Vikas Nagar,Indira Nagar,Lucknow,226001,2903,APARTMENT,5,2015,"Premium 5 BHK APARTMENT in Indira Nagar, Lucknow. Built in 2015 with 2903 sq ft area."
50000055,10000005,100002,E-738,Dabra,Morar,Gwalior,474001,735,FLAT,4,2024,"Premium 4 BHK FLAT in Morar, Gwalior. Built in 2024 with 735 sq ft area."
50000056,10000104,100002,F-751,Ganeshguri,Paltan Bazaar,Guwahati,781001,1163,APARTMENT,6,2023,"Premium 6 BHK APARTMENT in Paltan Bazaar, Guwahati. Built in 2023 with 1163 sq ft area."
50000057,10000095,100002,G-764,Malad,Bandra,Mumbai,400001,1984,FLAT,3,2021,"Premium 3 BHK FLAT in Bandra, Mumbai. Built in 2021 with 1984 sq ft area."
50000058,10000031,100003,H-777,Aminabad,Gomti Nagar,Lucknow,226001,1635,FLAT,4,2018,"Premium 4 BHK FLAT in Gomti Nagar, Lucknow. Built in 2018 with 1635 sq ft area."
50000059,10000141,100004,I-790,Thatipur,Morar,Gwalior,474001,1253,FLAT,5,2019,"Premium 5 BHK FLAT in Morar, Gwalior. Built in 2019 with 1253 sq ft area."
50000060,10000065,100006,J-803,Fancy Bazaar,Paltan Bazaar,Guwahati,781001,2512,APARTMENT,4,2022,"Premium 4 BHK APARTMENT in Paltan Bazaar, Guwahati. Built in 2022 with 2512 sq ft area."
50000061,10000053,100002,K-816,Dispur,Paltan Bazaar,Guwahati,781001,1864,FLAT,1,2018,"Premium 1 BHK FLAT in Paltan Bazaar, Guwahati. Built in 2018 with 1864 sq ft area."
50000062,10000048,100002,L-829,Rohini,Vasant Kunj,New Delhi,110001,2288,APARTMENT,3,2015,"Premium 3 BHK APARTMENT in Vasant Kunj, New Delhi. Built in 2015 with 2288 sq ft area."
50000063,10000089,100002,M-842,Aminabad,Gomti Nagar,Lucknow,226001,1630,FLAT,6,2019,"Premium 6 BHK FLAT in Gomti Nagar, Lucknow. Built in 2019 with 1630 sq ft area."
50000064,10000075,100004,N-855,Hauz Khas,Vasant Kunj,New Delhi,110001,714,FLAT,6,2021,"Premium 6 BHK FLAT in Vasant Kunj, New Delhi. Built in 2021 with 714 sq ft area."
50000065,10000146,100006,O-868,Charbagh,Gomti Nagar,Lucknow,226001,1482,FLAT,4,2014,"Premium 4 BHK FLAT in Gomti Nagar, Lucknow. Built in 2014 with 1482 sq ft area."
50000066,10000013,100005,P-881,Hauz Khas,Vasant Kunj,New Delhi,110001,1089,FLAT,6,2025,"Premium 6 BHK FLAT in Vasant Kunj, New Delhi. Built in 2025 with 1089 sq ft area."
50000067,10000143,100005,Q-894,Malad,Colaba,Mumbai,400001,1170,FLAT,6,2018,"Premium 6 BHK FLAT in Colaba, Mumbai. Built in 2018 with 1170 sq ft area."
50000068,10000024,100002,R-907,Saket,Connaught Place,New Delhi,110001,1446,FLAT,5,2018,"Premium 5 BHK FLAT in Connaught Place, New Delhi. Built in 2018 with 1446 sq ft area."
50000069,10000012,100006,S-21,Worli,Bandra,Mumbai,400001,1088,APARTMENT,5,2018,"Premium 5 BHK APARTMENT in Bandra, Mumbai. Built in 2018 with 1088 sq ft area."
50000070,10000040,100004,T-34,Dadar,Bandra,Mumbai,400001,1230,FLAT,4,2014,"Premium 4 BHK FLAT in Bandra, Mumbai. Built in 2014 with 1230 sq ft area."
50000071,10000028,100002,U-47,Aliganj,Gomti Nagar,Lucknow,226001,1373,APARTMENT,6,2017,"Premium 6 BHK APARTMENT in Gomti Nagar, Lucknow. Built in 2017 with 1373 sq ft area."
50000072,10000140,100006,V-60,Juhu,Andheri,Mumbai,400001,2327,FLAT,1,2019,"Premium 1 BHK FLAT in Andheri, Mumbai. Built in 2019 with 2327 sq ft area."
50000073,10000124,100002,W-73,Dabra,Lashkar,Gwalior,474001,1606,FLAT,4,2021,"Premium 4 BHK FLAT in Lashkar, Gwalior. Built in 2021 with 1606 sq ft area."
50000074,10000146,100003,X-86,Charbagh,Hazratganj,Lucknow,226001,883,APARTMENT,3,2015,"Premium 3 BHK APARTMENT in Hazratganj, Lucknow. Built in 2015 with 883 sq ft area."
50000075,10000131,100006,Y-99,Hauz Khas,Connaught Place,New Delhi,110001,2275,APARTMENT,6,2021,"Premium 6 BHK APARTMENT in Connaught Place, New Delhi. Built in 2021 with 2275 sq ft area."
50000076,10000095,100004,Z-112,Phool Bagh,City Center,Gwalior,474001,2167,APARTMENT,3,2024,"Premium 3 BHK APARTMENT in City Center, Gwalior. Built in 2024 with 2167 sq ft area."
50000077,10000115,100002,A-125,Thatipur,Morar,Gwalior,474001,2178,FLAT,5,2016,"Premium 5 BHK FLAT in Morar, Gwalior. Built in 2016 with 2178 sq ft area."
50000078,10000098,100005,B-138,Charbagh,Indira Nagar,Lucknow,226001,1064,APARTMENT,4,2014,"Premium 4 BHK APARTMENT in Indira Nagar, Lucknow. Built in 2014 with 1064 sq ft area."
50000079,10000149,100005,C-151,Aminabad,Gomti Nagar,Lucknow,226001,1956,APARTMENT,2,2016,"Premium 2 BHK APARTMENT in Gomti Nagar, Lucknow. Built in 2016 with 1956 sq ft area."
50000080,10000139,100004,D-164,Juhu,Colaba,Mumbai,400001,1362,FLAT,3,2017,"Premium 3 BHK FLAT in Colaba, Mumbai. Built in 2017 with 1362 sq ft area."
50000081,10000104,100006,E-177,Powai,Colaba,Mumbai,400001,956,APARTMENT,1,2019,"Premium 1 BHK APARTMENT in Colaba, Mumbai. Built in 2019 with 956 sq ft area."
50000082,10000127,100006,F-190,Mahanagar,Hazratganj,Lucknow,226001,842,FLAT,3,2022,"Premium 3 BHK FLAT in Hazratganj, Lucknow. Built in 2022 with 842 sq ft area."
50000083,10000076,100006,G-203,Karol Bagh,Vasant Kunj,New Delhi,110001,2759,APARTMENT,4,2017,"Premium 4 BHK APARTMENT in Vasant Kunj, New Delhi. Built in 2017 with 2759 sq ft area."
50000084,10000041,100004,H-216,Bada,Morar,Gwalior,474001,2289,APARTMENT,3,2025,"Premium 3 BHK APARTMENT in Morar, Gwalior. Built in 2025 with 2289 sq ft area."
50000085,10000080,100006,I-229,Phool Bagh,Lashkar,Gwalior,474001,2955,APARTMENT,1,2023,"Premium 1 BHK APARTMENT in Lashkar, Gwalior. Built in 2023 with 2955 sq ft area."
50000086,10000027,100002,J-242,Dispur,Paltan Bazaar,Guwahati,781001,2719,APARTMENT,4,2017,"Premium 4 BHK APARTMENT in Paltan Bazaar, Guwahati. Built in 2017 with 2719 sq ft area."
50000087,10000076,100005,K-255,Dadar,Bandra,Mumbai,400001,1053,FLAT,3,2023,"Premium 3 BHK FLAT in Bandra, Mumbai. Built in 2023 with 1053 sq ft area."
50000088,10000023,100005,L-268,Fancy Bazaar,Laxmi Ganj,Guwahati,781001,633,FLAT,1,2020,"Premium 1 BHK FLAT in Laxmi Ganj, Guwahati. Built in 2020 with 633 sq ft area."
50000089,10000131,100004,M-281,Dadar,Bandra,Mumbai,400001,1640,APARTMENT,4,2017,"Premium 4 BHK APARTMENT in Bandra, Mumbai. Built in 2017 with 1640 sq ft area."
50000090,10000087,100002,N-294,Malad,Bandra,Mumbai,400001,2941,FLAT,1,2021,"Premium 1 BHK FLAT in Bandra, Mumbai. Built in 2021 with 2941 sq ft area."
50000091,10000144,100005,O-307,Karol Bagh,Dwarka,New Delhi,110001,2973,APARTMENT,4,2022,"Premium 4 BHK APARTMENT in Dwarka, New Delhi. Built in 2022 with 2973 sq ft area."
50000092,10000043,100004,P-320,Aliganj,Hazratganj,Lucknow,226001,1052,APARTMENT,4,2020,"Premium 4 BHK APARTMENT in Hazratganj, Lucknow. Built in 2020 with 1052 sq ft area."
50000093,10000105,100006,Q-333,Juhu,Bandra,Mumbai,400001,2327,FLAT,1,2021,"Premium 1 BHK FLAT in Bandra, Mumbai. Built in 2021 with 2327 sq ft area."
50000094,10000057,100004,R-346,Dadar,Andheri,Mumbai,400001,2598,APARTMENT,2,2022,"Premium 2 BHK APARTMENT in Andheri, Mumbai. Built in 2022 with 2598 sq ft area."
50000095,10000076,100006,S-359,Thatipur,City Center,Gwalior,474001,1310,APARTMENT,5,2023,"Premium 5 BHK APARTMENT in City Center, Gwalior. Built in 2023 with 1310 sq ft area."
50000096,10000097,100006,T-372,Rohini,Connaught Place,New Delhi,110001,858,FLAT,4,2017,"Premium 4 BHK FLAT in Connaught Place, New Delhi. Built in 2017 with 858 sq ft area."
50000097,10000027,100004,U-385,Hauz Khas,Connaught Place,New Delhi,110001,2837,FLAT,3,2023,"Premium 3 BHK FLAT in Connaught Place, New Delhi. Built in 2023 with 2837 sq ft area."
50000098,10000007,100006,V-398,Phool Bagh,City Center,Gwalior,474001,571,APARTMENT,6,2015,"Premium 6 BHK APARTMENT in City Center, Gwalior. Built in 2015 with 571 sq ft area."
50000099,10000040,100003,W-411,Powai,Andheri,Mumbai,400001,1427,FLAT,4,2017,"Premium 4 BHK FLAT in Andheri, Mumbai. Built in 2017 with 1427 sq ft area."
