nid,date,message,status,time,type,receiver_id,sender_id
300001,2016-05-12,Let's schedule a meeting to discuss.,READ,10:30,MEETING,10000001,10000003
300002,2017-08-21,I have a question about the property.,UNREAD,14:15,INQUIRY,10000008,10000002
300003,2018-11-05,The transaction has been initiated.,READ,9:45,TRANSACTION,10000004,10000009
300004,2019-02-14,New property listing matching your criteria.,UNREAD,11:20,PROPERTY,10000011,10000005
300005,2020-07-30,Are you available for a meeting tomorrow?,READ,16:00,MEETING,10000006,10000016
300006,2021-09-18,Could you provide more details?,UNREAD,13:10,INQUIRY,10000026,10000007
300007,2022-04-25,Please review the transaction documents.,READ,15:30,TRANSACTION,10000010,10000044
300008,2023-12-01,The property price has been updated.,READ,10:05,PROPERTY,10000049,10000012
300009,2016-03-15,Meeting confirmed.,UNREAD,8:50,MEETING,10000013,10000056
300010,2017-06-22,Is the property still available?,READ,12:40,INQUIRY,10000061,10000014
300011,2018-01-10,Transaction successful.,READ,14:55,TRANSACTION,10000015,10000069
300012,2019-10-08,Property inspection is scheduled.,UNREAD,9:30,PROPERTY,10000073,10000017
300013,2020-05-19,Please confirm the meeting time.,READ,11:05,MEETING,10000018,10000077
300014,2021-11-27,What are the terms of the lease?,UNREAD,15:20,INQUIRY,10000078,10000019
300015,2022-08-04,Waiting for your approval on the transaction.,READ,10:45,TRANSACTION,10000020,10000083
300016,2023-02-16,The property is now under contract.,READ,13:10,PROPERTY,10000086,10000021
300017,2024-07-09,Can we reschedule our meeting?,UNREAD,16:35,MEETING,10000022,10000088
300018,2016-09-11,I would like to know more about the neighborhood.,READ,9:50,INQUIRY,10000102,10000023
300019,2017-12-30,The payment has been received.,UNREAD,12:15,TRANSACTION,10000024,10000103
300020,2018-04-05,Please review the new property photos.,READ,14:40,PROPERTY,10000106,10000025
300021,2019-08-14,Let's schedule a meeting to discuss.,READ,10:25,MEETING,10000027,10000110
300022,2020-01-23,I have a question about the property.,UNREAD,15:50,INQUIRY,10000113,10000028
300023,2021-06-02,The transaction has been initiated.,READ,9:15,TRANSACTION,10000029,10000117
300024,2022-10-11,New property listing matching your criteria.,READ,11:40,PROPERTY,10000120,10000030
300025,2023-03-20,Are you available for a meeting tomorrow?,UNREAD,14:05,MEETING,10000031,10000128
300026,2024-05-29,Could you provide more details?,READ,16:30,INQUIRY,10000129,10000032
300027,2016-11-07,Please review the transaction documents.,READ,10:55,TRANSACTION,10000033,10000135
300028,2017-02-16,The property price has been updated.,UNREAD,13:20,PROPERTY,10000136,10000034
300029,2018-07-25,Meeting confirmed.,READ,9:45,MEETING,10000035,10000138
300030,2019-12-04,Is the property still available?,READ,12:10,INQUIRY,10000150,10000036
300031,2020-04-13,Transaction successful.,UNREAD,15:35,TRANSACTION,10000037,10000003
300032,2021-09-22,Property inspection is scheduled.,READ,10:00,PROPERTY,10000008,10000038
300033,2022-01-31,Please confirm the meeting time.,READ,14:25,MEETING,10000039,10000009
300034,2023-06-10,What are the terms of the lease?,UNREAD,16:50,INQUIRY,10000011,10000040
300035,2024-10-19,Waiting for your approval on the transaction.,READ,11:15,TRANSACTION,10000041,10000016
300036,2016-02-28,The property is now under contract.,READ,9:40,PROPERTY,10000026,10000042
300037,2017-05-08,Can we reschedule our meeting?,UNREAD,13:05,MEETING,10000043,10000044
300038,2018-08-17,I would like to know more about the neighborhood.,READ,15:30,INQUIRY,10000049,10000045
300039,2019-11-26,The payment has been received.,READ,10:55,TRANSACTION,10000046,10000056
300040,2020-03-05,Please review the new property photos.,UNREAD,12:20,PROPERTY,10000061,10000047
300041,2021-07-14,Let's schedule a meeting to discuss.,READ,16:45,MEETING,10000048,10000069
300042,2022-12-23,I have a question about the property.,READ,9:10,INQUIRY,10000073,10000050
300043,2023-04-02,The transaction has been initiated.,UNREAD,11:35,TRANSACTION,10000051,10000077
300044,2024-09-11,New property listing matching your criteria.,READ,14:00,PROPERTY,10000078,10000052
300045,2016-01-20,Are you available for a meeting tomorrow?,READ,16:25,MEETING,10000053,10000083
300046,2017-10-29,Could you provide more details?,UNREAD,10:50:00,INQUIRY,10000086,10000054
300047,2018-03-09,Please review the transaction documents.,READ,13:15:00,TRANSACTION,10000055,10000088
300048,2019-06-18,The property price has been updated.,READ,15:40:00,PROPERTY,10000102,10000057
300049,2020-11-27,Meeting confirmed.,UNREAD,9:05:00,MEETING,10000058,10000103
300050,2021-02-05,Is the property still available?,READ,11:30:00,INQUIRY,10000106,10000059