id,bhk,area,city,description,house_no,locality,pin,size,type,year_built,office_id,owner_id
50000001,6,Laxmi Ganj,Guwahati,"Premium 6 BHK APARTMENT in Laxmi Ganj, Guwahati. Built in 2025 with 2495 sq ft area.",C-36,Fancy Bazaar,781001,2495,APARTMENT,2025,100003,10000122
50000002,4,Gomti Nagar,Lucknow,"Premium 4 BHK APARTMENT in Gomti Nagar, Lucknow. Built in 2020 with 2696 sq ft area.",D-49,Charbagh,226001,2696,APARTMENT,2020,100003,10000059
50000003,4,Connaught Place,New Delhi,"Premium 4 BHK FLAT in Connaught Place, New Delhi. Built in 2019 with 2636 sq ft area.",E-62,Rohini,110001,2636,FLAT,2019,100005,10000042
50000004,2,Paltan Bazaar,Guwahati,"Premium 2 BHK FLAT in Paltan Bazaar, Guwahati. Built in 2016 with 1955 sq ft area.",F-75,Ganeshguri,781001,1955,FLAT,2016,100002,10000012
50000005,5,Indira Nagar,Lucknow,"Premium 5 BHK FLAT in Indira Nagar, Lucknow. Built in 2020 with 1073 sq ft area.",G-88,Charbagh,226001,1073,FLAT,2020,100003,10000127
50000006,2,Vasant Kunj,New Delhi,"Premium 2 BHK APARTMENT in Vasant Kunj, New Delhi. Built in 2025 with 2377 sq ft area.",H-101,Karol Bagh,110001,2377,APARTMENT,2025,100005,10000079
50000007,6,Connaught Place,New Delhi,"Premium 6 BHK FLAT in Connaught Place, New Delhi. Built in 2016 with 1736 sq ft area.",I-114,Hauz Khas,110001,1736,FLAT,2016,100002,10000031
50000008,1,Morar,Gwalior,"Premium 1 BHK APARTMENT in Morar, Gwalior. Built in 2019 with 2880 sq ft area.",J-127,Bada,474001,2880,APARTMENT,2019,100003,10000099
50000009,4,City Center,Gwalior,"Premium 4 BHK APARTMENT in City Center, Gwalior. Built in 2019 with 2357 sq ft area.",K-140,Thatipur,474001,2357,APARTMENT,2019,100004,10000004
50000010,3,Morar,Gwalior,"Premium 3 BHK FLAT in Morar, Gwalior. Built in 2022 with 1286 sq ft area.",L-153,Phool Bagh,474001,1286,FLAT,2022,100005,10000085
50000011,4,City Center,Gwalior,"Premium 4 BHK APARTMENT in City Center, Gwalior. Built in 2014 with 1685 sq ft area.",M-166,Thatipur,474001,1685,APARTMENT,2014,100004,10000085
50000012,2,Lashkar,Gwalior,"Premium 2 BHK FLAT in Lashkar, Gwalior. Built in 2025 with 1560 sq ft area.",N-179,Pinto Park,474001,1560,FLAT,2025,100002,10000029
50000013,6,City Center,Gwalior,"Premium 6 BHK FLAT in City Center, Gwalior. Built in 2018 with 600 sq ft area.",O-192,Bada,474001,600,FLAT,2018,100003,10000060
50000014,5,Andheri,Mumbai,"Premium 5 BHK APARTMENT in Andheri, Mumbai. Built in 2022 with 1828 sq ft area.",P-205,Malad,400001,1828,APARTMENT,2022,100002,10000092
50000015,2,City Center,Gwalior,"Premium 2 BHK FLAT in City Center, Gwalior. Built in 2022 with 525 sq ft area.",Q-218,Phool Bagh,474001,525,FLAT,2022,100003,10000047
50000016,4,Laxmi Ganj,Guwahati,"Premium 4 BHK FLAT in Laxmi Ganj, Guwahati. Built in 2017 with 1542 sq ft area.",R-231,Fancy Bazaar,781001,1542,FLAT,2017,100002,10000098
50000017,5,Gomti Nagar,Lucknow,"Premium 5 BHK APARTMENT in Gomti Nagar, Lucknow. Built in 2019 with 1205 sq ft area.",S-244,Aminabad,226001,1205,APARTMENT,2019,100002,10000127
50000018,4,City Center,Gwalior,"Premium 4 BHK APARTMENT in City Center, Gwalior. Built in 2025 with 1946 sq ft area.",T-257,Bada,474001,1946,APARTMENT,2025,100006,10000114
50000019,5,Laxmi Ganj,Guwahati,"Premium 5 BHK FLAT in Laxmi Ganj, Guwahati. Built in 2025 with 1348 sq ft area.",U-270,Ganeshguri,781001,1348,FLAT,2025,100004,10000127
50000020,2,Dwarka,New Delhi,"Premium 2 BHK FLAT in Dwarka, New Delhi. Built in 2014 with 2563 sq ft area.",V-283,Karol Bagh,110001,2563,FLAT,2014,100005,10000100
50000021,2,Paltan Bazaar,Guwahati,"Premium 2 BHK APARTMENT in Paltan Bazaar, Guwahati. Built in 2017 with 2253 sq ft area.",W-296,Dispur,781001,2253,APARTMENT,2017,100006,10000118
50000022,5,Dwarka,New Delhi,"Premium 5 BHK FLAT in Dwarka, New Delhi. Built in 2015 with 972 sq ft area.",X-309,Saket,110001,972,FLAT,2015,100004,10000140
50000023,6,Uzan Bazaar,Guwahati,"Premium 6 BHK FLAT in Uzan Bazaar, Guwahati. Built in 2024 with 2823 sq ft area.",Y-322,Beltola,781001,2823,FLAT,2024,100004,10000143
50000024,2,Dwarka,New Delhi,"Premium 2 BHK FLAT in Dwarka, New Delhi. Built in 2022 with 1600 sq ft area.",Z-335,Rajouri Garden,110001,1600,FLAT,2022,100003,10000007
50000025,5,Indira Nagar,Lucknow,"Premium 5 BHK APARTMENT in Indira Nagar, Lucknow. Built in 2020 with 2785 sq ft area.",A-348,Mahanagar,226001,2785,APARTMENT,2020,100005,10000031
50000026,2,Vasant Kunj,New Delhi,"Premium 2 BHK FLAT in Vasant Kunj, New Delhi. Built in 2020 with 1431 sq ft area.",B-361,Hauz Khas,110001,1431,FLAT,2020,100005,10000024
50000027,6,Colaba,Mumbai,"Premium 6 BHK FLAT in Colaba, Mumbai. Built in 2024 with 606 sq ft area.",C-374,Worli,400001,606,FLAT,2024,100004,10000029
50000028,2,Paltan Bazaar,Guwahati,"Premium 2 BHK APARTMENT in Paltan Bazaar, Guwahati. Built in 2017 with 2290 sq ft area.",D-387,Maligaon,781001,2290,APARTMENT,2017,100002,10000098
50000029,4,Morar,Gwalior,"Premium 4 BHK APARTMENT in Morar, Gwalior. Built in 2021 with 676 sq ft area.",E-400,Dabra,474001,676,APARTMENT,2021,100004,10000081
50000030,4,Connaught Place,New Delhi,"Premium 4 BHK APARTMENT in Connaught Place, New Delhi. Built in 2023 with 2143 sq ft area.",F-413,Rohini,110001,2143,APARTMENT,2023,100006,10000141
50000031,6,Lashkar,Gwalior,"Premium 6 BHK FLAT in Lashkar, Gwalior. Built in 2020 with 1540 sq ft area.",G-426,Thatipur,474001,1540,FLAT,2020,100003,10000090
50000032,3,Uzan Bazaar,Guwahati,"Premium 3 BHK APARTMENT in Uzan Bazaar, Guwahati. Built in 2023 with 2816 sq ft area.",H-439,Ganeshguri,781001,2816,APARTMENT,2023,100003,10000114
50000033,4,Indira Nagar,Lucknow,"Premium 4 BHK APARTMENT in Indira Nagar, Lucknow. Built in 2020 with 1622 sq ft area.",I-452,Vikas Nagar,226001,1622,APARTMENT,2020,100003,10000081
50000034,5,Colaba,Mumbai,"Premium 5 BHK APARTMENT in Colaba, Mumbai. Built in 2014 with 1962 sq ft area.",J-465,Powai,400001,1962,APARTMENT,2014,100006,10000072
50000035,1,Uzan Bazaar,Guwahati,"Premium 1 BHK FLAT in Uzan Bazaar, Guwahati. Built in 2020 with 1370 sq ft area.",K-478,Beltola,781001,1370,FLAT,2020,100003,10000065
50000036,2,Colaba,Mumbai,"Premium 2 BHK FLAT in Colaba, Mumbai. Built in 2015 with 1848 sq ft area.",L-491,Worli,400001,1848,FLAT,2015,100005,10000012
50000037,6,Morar,Gwalior,"Premium 6 BHK APARTMENT in Morar, Gwalior. Built in 2020 with 2907 sq ft area.",M-504,Pinto Park,474001,2907,APARTMENT,2020,100005,10000060
50000038,1,Andheri,Mumbai,"Premium 1 BHK APARTMENT in Andheri, Mumbai. Built in 2014 with 1567 sq ft area.",N-517,Worli,400001,1567,APARTMENT,2014,100004,10000142
50000039,1,Gomti Nagar,Lucknow,"Premium 1 BHK FLAT in Gomti Nagar, Lucknow. Built in 2015 with 2865 sq ft area.",O-530,Vikas Nagar,226001,2865,FLAT,2015,100002,10000146
50000040,1,Lashkar,Gwalior,"Premium 1 BHK FLAT in Lashkar, Gwalior. Built in 2024 with 1988 sq ft area.",P-543,Phool Bagh,474001,1988,FLAT,2024,100006,10000021
50000041,5,Uzan Bazaar,Guwahati,"Premium 5 BHK APARTMENT in Uzan Bazaar, Guwahati. Built in 2016 with 1298 sq ft area.",Q-556,Ganeshguri,781001,1298,APARTMENT,2016,100006,10000024
50000042,1,Bandra,Mumbai,"Premium 1 BHK FLAT in Bandra, Mumbai. Built in 2016 with 506 sq ft area.",R-569,Malad,400001,506,FLAT,2016,100006,10000125
50000043,4,Gomti Nagar,Lucknow,"Premium 4 BHK APARTMENT in Gomti Nagar, Lucknow. Built in 2017 with 2018 sq ft area.",S-582,Mahanagar,226001,2018,APARTMENT,2017,100003,10000108
50000044,3,Uzan Bazaar,Guwahati,"Premium 3 BHK FLAT in Uzan Bazaar, Guwahati. Built in 2023 with 2932 sq ft area.",T-595,Maligaon,781001,2932,FLAT,2023,100004,10000108
50000045,6,Hazratganj,Lucknow,"Premium 6 BHK APARTMENT in Hazratganj, Lucknow. Built in 2014 with 1124 sq ft area.",U-608,Aliganj,226001,1124,APARTMENT,2014,100002,10000019
50000046,1,City Center,Gwalior,"Premium 1 BHK FLAT in City Center, Gwalior. Built in 2022 with 594 sq ft area.",V-621,Bada,474001,594,FLAT,2022,100006,10000057
50000047,2,Paltan Bazaar,Guwahati,"Premium 2 BHK APARTMENT in Paltan Bazaar, Guwahati. Built in 2020 with 743 sq ft area.",W-634,Dispur,781001,743,APARTMENT,2020,100004,10000046
50000048,3,Indira Nagar,Lucknow,"Premium 3 BHK APARTMENT in Indira Nagar, Lucknow. Built in 2019 with 2240 sq ft area.",X-647,Aminabad,226001,2240,APARTMENT,2019,100002,10000141
50000049,1,Lashkar,Gwalior,"Premium 1 BHK APARTMENT in Lashkar, Gwalior. Built in 2022 with 1256 sq ft area.",Y-660,Pinto Park,474001,1256,APARTMENT,2022,100005,10000109
50000050,6,Dwarka,New Delhi,"Premium 6 BHK FLAT in Dwarka, New Delhi. Built in 2017 with 2297 sq ft area.",Z-673,Saket,110001,2297,FLAT,2017,100003,10000112
50000051,5,Gomti Nagar,Lucknow,"Premium 5 BHK APARTMENT in Gomti Nagar, Lucknow. Built in 2015 with 2273 sq ft area.",A-686,Aliganj,226001,2273,APARTMENT,2015,100003,10000042
50000052,6,Morar,Gwalior,"Premium 6 BHK APARTMENT in Morar, Gwalior. Built in 2015 with 2630 sq ft area.",B-699,Pinto Park,474001,2630,APARTMENT,2015,100006,10000066
50000053,6,Gomti Nagar,Lucknow,"Premium 6 BHK APARTMENT in Gomti Nagar, Lucknow. Built in 2016 with 982 sq ft area.",C-712,Mahanagar,226001,982,APARTMENT,2016,100004,10000017
50000054,5,Indira Nagar,Lucknow,"Premium 5 BHK APARTMENT in Indira Nagar, Lucknow. Built in 2015 with 2903 sq ft area.",D-725,Vikas Nagar,226001,2903,APARTMENT,2015,100002,10000084
50000055,4,Morar,Gwalior,"Premium 4 BHK FLAT in Morar, Gwalior. Built in 2024 with 735 sq ft area.",E-738,Dabra,474001,735,FLAT,2024,100002,10000005
50000056,6,Paltan Bazaar,Guwahati,"Premium 6 BHK APARTMENT in Paltan Bazaar, Guwahati. Built in 2023 with 1163 sq ft area.",F-751,Ganeshguri,781001,1163,APARTMENT,2023,100002,10000052
50000057,3,Bandra,Mumbai,"Premium 3 BHK FLAT in Bandra, Mumbai. Built in 2021 with 1984 sq ft area.",G-764,Malad,400001,1984,FLAT,2021,100002,10000095
50000058,4,Gomti Nagar,Lucknow,"Premium 4 BHK FLAT in Gomti Nagar, Lucknow. Built in 2018 with 1635 sq ft area.",H-777,Aminabad,226001,1635,FLAT,2018,100003,10000031
50000059,5,Morar,Gwalior,"Premium 5 BHK FLAT in Morar, Gwalior. Built in 2019 with 1253 sq ft area.",I-790,Thatipur,474001,1253,FLAT,2019,100004,10000141
50000060,4,Paltan Bazaar,Guwahati,"Premium 4 BHK APARTMENT in Paltan Bazaar, Guwahati. Built in 2022 with 2512 sq ft area.",J-803,Fancy Bazaar,781001,2512,APARTMENT,2022,100006,10000065
50000061,1,Paltan Bazaar,Guwahati,"Premium 1 BHK FLAT in Paltan Bazaar, Guwahati. Built in 2018 with 1864 sq ft area.",K-816,Dispur,781001,1864,FLAT,2018,100002,10000053
50000062,3,Vasant Kunj,New Delhi,"Premium 3 BHK APARTMENT in Vasant Kunj, New Delhi. Built in 2015 with 2288 sq ft area.",L-829,Rohini,110001,2288,APARTMENT,2015,100002,10000048
50000063,6,Gomti Nagar,Lucknow,"Premium 6 BHK FLAT in Gomti Nagar, Lucknow. Built in 2019 with 1630 sq ft area.",M-842,Aminabad,226001,1630,FLAT,2019,100002,10000089
50000064,6,Vasant Kunj,New Delhi,"Premium 6 BHK FLAT in Vasant Kunj, New Delhi. Built in 2021 with 714 sq ft area.",N-855,Hauz Khas,110001,714,FLAT,2021,100004,10000075
50000065,4,Gomti Nagar,Lucknow,"Premium 4 BHK FLAT in Gomti Nagar, Lucknow. Built in 2014 with 1482 sq ft area.",O-868,Charbagh,226001,1482,FLAT,2014,100006,10000146
50000066,6,Vasant Kunj,New Delhi,"Premium 6 BHK FLAT in Vasant Kunj, New Delhi. Built in 2025 with 1089 sq ft area.",P-881,Hauz Khas,110001,1089,FLAT,2025,100005,10000013
50000067,6,Colaba,Mumbai,"Premium 6 BHK FLAT in Colaba, Mumbai. Built in 2018 with 1170 sq ft area.",Q-894,Malad,400001,1170,FLAT,2018,100005,10000124
50000068,5,Connaught Place,New Delhi,"Premium 5 BHK FLAT in Connaught Place, New Delhi. Built in 2018 with 1446 sq ft area.",R-907,Saket,110001,1446,FLAT,2018,100002,10000115
50000069,5,Bandra,Mumbai,"Premium 5 BHK APARTMENT in Bandra, Mumbai. Built in 2018 with 1088 sq ft area.",S-21,Worli,400001,1088,APARTMENT,2018,100006,10000141
50000070,4,Bandra,Mumbai,"Premium 4 BHK FLAT in Bandra, Mumbai. Built in 2014 with 1230 sq ft area.",T-34,Dadar,400001,1230,FLAT,2014,100004,10000119
50000071,6,Gomti Nagar,Lucknow,"Premium 6 BHK APARTMENT in Gomti Nagar, Lucknow. Built in 2017 with 1373 sq ft area.",U-47,Aliganj,226001,1373,APARTMENT,2017,100002,10000028
50000072,1,Andheri,Mumbai,"Premium 1 BHK FLAT in Andheri, Mumbai. Built in 2019 with 2327 sq ft area.",V-60,Juhu,400001,2327,FLAT,2019,100006,10000140
50000073,4,Lashkar,Gwalior,"Premium 4 BHK FLAT in Lashkar, Gwalior. Built in 2021 with 1606 sq ft area.",W-73,Dabra,474001,1606,FLAT,2021,100002,10000124
50000074,3,Hazratganj,Lucknow,"Premium 3 BHK APARTMENT in Hazratganj, Lucknow. Built in 2015 with 883 sq ft area.",X-86,Charbagh,226001,883,APARTMENT,2015,100003,10000146
50000075,6,Connaught Place,New Delhi,"Premium 6 BHK APARTMENT in Connaught Place, New Delhi. Built in 2021 with 2275 sq ft area.",Y-99,Hauz Khas,110001,2275,APARTMENT,2021,100006,10000131
50000076,3,City Center,Gwalior,"Premium 3 BHK APARTMENT in City Center, Gwalior. Built in 2024 with 2167 sq ft area.",Z-112,Phool Bagh,474001,2167,APARTMENT,2024,100004,10000087
50000077,5,Morar,Gwalior,"Premium 5 BHK FLAT in Morar, Gwalior. Built in 2016 with 2178 sq ft area.",A-125,Thatipur,474001,2178,FLAT,2016,100002,10000115
50000078,4,Indira Nagar,Lucknow,"Premium 4 BHK APARTMENT in Indira Nagar, Lucknow. Built in 2014 with 1064 sq ft area.",B-138,Charbagh,226001,1064,APARTMENT,2014,100005,10000098
50000079,2,Gomti Nagar,Lucknow,"Premium 2 BHK APARTMENT in Gomti Nagar, Lucknow. Built in 2016 with 1956 sq ft area.",C-151,Aminabad,226001,1956,APARTMENT,2016,100005,10000149
50000080,3,Colaba,Mumbai,"Premium 3 BHK FLAT in Colaba, Mumbai. Built in 2017 with 1362 sq ft area.",D-164,Juhu,400001,1362,FLAT,2017,100004,10000139
50000081,1,Colaba,Mumbai,"Premium 1 BHK APARTMENT in Colaba, Mumbai. Built in 2019 with 956 sq ft area.",E-177,Powai,400001,956,APARTMENT,2019,100006,10000104
50000082,3,Hazratganj,Lucknow,"Premium 3 BHK FLAT in Hazratganj, Lucknow. Built in 2022 with 842 sq ft area.",F-190,Mahanagar,226001,842,FLAT,2022,100006,10000127
50000083,4,Vasant Kunj,New Delhi,"Premium 4 BHK APARTMENT in Vasant Kunj, New Delhi. Built in 2017 with 2759 sq ft area.",G-203,Karol Bagh,110001,2759,APARTMENT,2017,100006,10000076
50000084,3,Morar,Gwalior,"Premium 3 BHK APARTMENT in Morar, Gwalior. Built in 2025 with 2289 sq ft area.",H-216,Bada,474001,2289,APARTMENT,2025,100004,10000145
50000085,1,Lashkar,Gwalior,"Premium 1 BHK APARTMENT in Lashkar, Gwalior. Built in 2023 with 2955 sq ft area.",I-229,Phool Bagh,474001,2955,APARTMENT,2023,100006,10000080
50000086,4,Paltan Bazaar,Guwahati,"Premium 4 BHK APARTMENT in Paltan Bazaar, Guwahati. Built in 2017 with 2719 sq ft area.",J-242,Dispur,781001,2719,APARTMENT,2017,100002,10000040
50000087,3,Bandra,Mumbai,"Premium 3 BHK FLAT in Bandra, Mumbai. Built in 2023 with 1053 sq ft area.",K-255,Dadar,400001,1053,FLAT,2023,100005,10000076
50000088,1,Laxmi Ganj,Guwahati,"Premium 1 BHK FLAT in Laxmi Ganj, Guwahati. Built in 2020 with 633 sq ft area.",L-268,Fancy Bazaar,781001,633,FLAT,2020,100005,10000005
50000089,4,Bandra,Mumbai,"Premium 4 BHK APARTMENT in Bandra, Mumbai. Built in 2017 with 1640 sq ft area.",M-281,Dadar,400001,1640,APARTMENT,2017,100004,10000131
50000090,1,Bandra,Mumbai,"Premium 1 BHK FLAT in Bandra, Mumbai. Built in 2021 with 2941 sq ft area.",N-294,Malad,400001,2941,FLAT,2021,100002,10000087
50000091,4,Dwarka,New Delhi,"Premium 4 BHK APARTMENT in Dwarka, New Delhi. Built in 2022 with 2973 sq ft area.",O-307,Karol Bagh,110001,2973,APARTMENT,2022,100005,10000032
50000092,4,Hazratganj,Lucknow,"Premium 4 BHK APARTMENT in Hazratganj, Lucknow. Built in 2020 with 1052 sq ft area.",P-320,Aliganj,226001,1052,APARTMENT,2020,100004,10000043
50000093,1,Bandra,Mumbai,"Premium 1 BHK FLAT in Bandra, Mumbai. Built in 2021 with 2327 sq ft area.",Q-333,Juhu,400001,2327,FLAT,2021,100006,10000105
50000094,2,Andheri,Mumbai,"Premium 2 BHK APARTMENT in Andheri, Mumbai. Built in 2022 with 2598 sq ft area.",R-346,Dadar,400001,2598,APARTMENT,2022,100004,10000057
50000095,5,City Center,Gwalior,"Premium 5 BHK APARTMENT in City Center, Gwalior. Built in 2023 with 1310 sq ft area.",S-359,Thatipur,474001,1310,APARTMENT,2023,100006,10000022
50000096,4,Connaught Place,New Delhi,"Premium 4 BHK FLAT in Connaught Place, New Delhi. Built in 2017 with 858 sq ft area.",T-372,Rohini,110001,858,FLAT,2017,100006,10000141
50000097,3,Connaught Place,New Delhi,"Premium 3 BHK FLAT in Connaught Place, New Delhi. Built in 2023 with 2837 sq ft area.",U-385,Hauz Khas,110001,2837,FLAT,2023,100004,10000027
50000098,6,City Center,Gwalior,"Premium 6 BHK APARTMENT in City Center, Gwalior. Built in 2015 with 571 sq ft area.",V-398,Phool Bagh,474001,571,APARTMENT,2015,100006,10000043
50000099,4,Andheri,Mumbai,"Premium 4 BHK FLAT in Andheri, Mumbai. Built in 2017 with 1427 sq ft area.",W-411,Powai,400001,1427,FLAT,2017,100003,10000065
